Tour, Faim, Pensee
0,0,8
1,0,16
2,0,24
3,0,32
4,0,32
5,0,32
6,0,32
7,0,32
8,0,32
9,0,32
10,0,32
11,0,32
12,0,36
13,0,40
14,0,40
15,0,40
16,0,40
17,0,40
18,0,40
19,0,40
20,0,40
21,0,41
22,0,42
23,0,45
24,0,48
25,0,51
26,0,51
27,0,51
28,0,51
29,0,51
30,0,51
31,0,51
32,0,51
33,0,52
34,0,56
35,0,60
36,0,60
37,0,60
38,0,60
39,0,60
40,0,60
41,0,60
42,0,60
43,0,60
44,0,60
45,0,62
46,0,64
47,0,67
48,0,69
49,0,71
50,0,71
51,0,71
52,0,71
53,0,71
54,0,71
55,0,71
56,0,71
57,0,71
58,0,73
59,0,77
60,0,80
61,0,80
62,0,80
63,0,80
64,0,80
65,0,80
66,0,80
67,0,80
68,0,80
69,0,80
70,0,81
71,0,83
72,0,86
73,0,89
74,0,90
75,0,90
76,0,90
77,0,90
78,0,90
79,0,90
80,0,90
81,0,90
82,0,90
83,0,92
84,0,95
85,0,98
86,0,99
87,0,100
88,0,100
89,0,100
90,0,100
91,0,100
92,0,100
93,0,100
94,0,101
95,0,102
96,0,103
97,0,105
98,0,107
99,0,108
100,0,108
101,0,108
102,0,108
103,0,108
104,0,108
105,0,108
106,0,108
107,0,108
108,0,108
109,0,109
110,0,112
111,0,115
112,0,117
113,0,117
114,0,117
115,0,117
116,0,117
117,0,117
118,0,117
119,0,117
120,0,117
121,0,118
122,0,120
123,0,122
124,0,125
125,0,127
126,0,128
127,0,128
128,0,128
129,0,128
130,0,128
131,0,128
132,0,129
133,0,130
134,0,130
135,0,131
136,0,132
137,0,134
138,0,136
139,0,137
140,0,137
141,0,137
142,0,137
143,0,137
144,0,137
145,0,137
146,0,137
147,0,138
148,0,139
149,0,140
150,0,141
151,0,142
152,0,144
153,0,146
154,0,146
155,0,146
156,0,146
157,0,146
158,0,146
159,0,146
160,0,146
161,0,146
162,0,147
163,0,149
164,0,151
165,0,152
166,0,154
167,0,155
168,0,155
169,0,155
170,0,155
171,0,155
172,0,155
173,0,155
174,0,156
175,0,157
176,0,158
177,0,159
178,0,160
179,0,161
180,0,162
181,0,163
182,0,164
183,0,164
184,0,164
185,0,164
186,0,164
187,0,165
188,0,166
189,0,167
190,0,167
191,0,167
192,0,168
193,0,170
194,0,172
195,0,173
196,0,173
197,0,173
198,0,174
199,0,175
200,0,176
201,0,176
202,0,176
203,0,176
204,0,177
205,0,178
206,0,179
207,0,180
208,0,181
209,0,181
210,0,181
211,0,182
212,0,183
213,0,184
214,0,184
215,0,184
216,0,185
217,0,186
218,0,187
219,0,187
220,0,188
221,0,189
222,0,189
223,0,189
224,0,189
225,0,189
226,0,190
227,0,191
228,0,192
229,0,192
230,0,193
231,0,195
232,0,196
233,0,197
234,0,197
235,0,197
236,0,197
237,0,197
238,0,198
239,0,199
240,0,200
241,0,200
242,0,200
243,0,200
244,0,200
245,0,200
246,0,200
247,0,202
248,0,204
249,0,205
250,0,205
251,0,205
252,0,205
253,0,205
254,0,205
255,0,206
256,0,207
257,0,208
258,0,208
259,0,208
260,0,208
