Tour,Faim0,Pensee0,Faim1,Pensee1,Faim2,Pensee2,Faim3,Pensee3,Faim4,Pensee4,Faim5,Pensee5,Faim6,Pensee6,Faim7,Pensee7,
0,-5,1,-5,1,-5,1,-5,1,-5,1,-5,1,-5,1,-5,1,
1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,
2,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,
3,10,4,10,4,10,4,10,4,10,4,10,4,10,4,10,4,
4,10,4,10,4,10,4,10,4,10,4,10,4,10,4,10,4,
5,10,4,11,4,10,4,11,4,10,4,11,4,10,4,11,4,
6,8,4,12,4,8,4,12,4,8,4,12,4,8,4,12,4,
7,6,4,13,4,6,4,13,4,6,4,13,4,6,4,13,4,
8,4,4,14,4,4,4,14,4,4,4,14,4,4,4,14,4,
9,2,4,15,4,2,4,15,4,2,4,15,4,2,4,15,4,
10,0,4,16,4,0,4,16,4,0,4,16,4,0,4,16,4,
11,0,4,17,4,0,4,17,4,0,4,17,4,0,4,16,4,
12,5,5,17,4,5,5,17,4,5,5,17,4,5,5,14,4,
13,10,6,15,4,10,6,15,4,10,6,15,4,10,6,12,4,
14,10,6,13,4,10,6,13,4,10,6,13,4,10,6,10,4,
15,11,6,11,4,11,6,11,4,11,6,11,4,11,6,8,4,
16,12,6,9,4,12,6,9,4,12,6,9,4,12,6,6,4,
17,13,6,7,4,13,6,7,4,13,6,7,4,13,6,4,4,
18,14,6,5,4,14,6,5,4,14,6,5,4,14,6,2,4,
19,15,6,3,4,15,6,3,4,15,6,3,4,15,6,0,4,
20,16,6,1,4,16,6,1,4,16,6,1,4,16,6,0,4,
21,17,6,-1,4,17,6,-1,4,17,6,-1,4,17,6,5,5,
22,18,6,-1,4,18,6,-1,4,18,6,-1,4,17,6,10,6,
23,18,6,4,5,18,6,4,5,18,6,4,5,15,6,10,6,
24,16,6,9,6,16,6,9,6,16,6,9,6,13,6,11,6,
25,14,6,14,7,14,6,14,7,14,6,14,7,11,6,12,6,
26,12,6,14,7,12,6,14,7,12,6,14,7,9,6,13,6,
27,10,6,15,7,10,6,15,7,10,6,15,7,7,6,14,6,
28,8,6,16,7,8,6,16,7,8,6,16,7,5,6,15,6,
29,6,6,17,7,6,6,17,7,6,6,17,7,3,6,16,6,
30,4,6,18,7,4,6,18,7,4,6,18,7,1,6,17,6,
31,2,6,19,7,2,6,19,7,2,6,19,7,-1,6,18,6,
32,0,6,20,7,0,6,20,7,0,6,20,7,-1,6,19,6,
33,0,6,21,7,0,6,21,7,0,6,20,7,4,7,19,6,
34,5,7,21,7,5,7,21,7,5,7,18,7,9,8,17,6,
35,10,8,19,7,10,8,19,7,10,8,16,7,14,9,15,6,
36,10,8,17,7,10,8,17,7,10,8,14,7,14,9,13,6,
37,11,8,15,7,11,8,15,7,11,8,12,7,15,9,11,6,
38,12,8,13,7,12,8,13,7,12,8,10,7,16,9,9,6,
39,13,8,11,7,13,8,11,7,13,8,8,7,17,9,7,6,
40,14,8,9,7,14,8,9,7,14,8,6,7,18,9,5,6,
41,15,8,7,7,15,8,7,7,15,8,4,7,19,9,3,6,
42,16,8,5,7,16,8,5,7,16,8,2,7,20,9,1,6,
43,17,8,3,7,17,8,3,7,17,8,0,7,21,9,-1,6,
44,18,8,1,7,18,8,1,7,18,8,0,7,22,9,-1,6,
45,19,8,-1,7,19,8,-1,7,19,8,5,8,22,9,4,7,
46,20,8,-1,7,20,8,-1,7,19,8,10,9,20,9,9,8,
47,20,8,4,8,20,8,4,8,17,8,10,9,18,9,14,9,
48,18,8,9,9,18,8,9,9,15,8,11,9,16,9,14,9,
49,16,8,14,10,16,8,14,10,13,8,12,9,14,9,15,9,
50,14,8,14,10,14,8,14,10,11,8,13,9,12,9,16,9,
51,12,8,15,10,12,8,15,10,9,8,14,9,10,9,17,9,
52,10,8,16,10,10,8,16,10,7,8,15,9,8,9,18,9,
53,8,8,17,10,8,8,17,10,5,8,16,9,6,9,19,9,
54,6,8,18,10,6,8,18,10,3,8,17,9,4,9,20,9,
55,4,8,19,10,4,8,19,10,1,8,18,9,2,9,21,9,
56,2,8,20,10,2,8,20,10,-1,8,19,9,0,9,22,9,
57,0,8,21,10,0,8,21,10,-1,8,20,9,0,9,23,9,
58,0,8,22,10,0,8,21,10,4,9,20,9,5,10,23,9,
59,5,9,22,10,5,9,19,10,9,10,18,9,10,11,21,9,
60,10,10,20,10,10,10,17,10,14,11,16,9,10,11,19,9,
61,10,10,18,10,10,10,15,10,14,11,14,9,11,11,17,9,
62,11,10,16,10,11,10,13,10,15,11,12,9,12,11,15,9,
63,12,10,14,10,12,10,11,10,16,11,10,9,13,11,13,9,
